,SYMBOL,NAME OF COMPANY, SERIES, DATE OF LISTING, PAID UP VALUE, MARKET LOT, ISIN NUMBER, FACE VALUE
510,FORCEMOT,FORCE MOTORS LTD,EQ,1994-01-03 00:11:00,10,1,INE451A01017,10
875,KENNAMET,Kennametal India Limited,EQ,1994-01-03 00:11:00,10,1,INE717A01029,10
585,GOODYEAR,Goodyear India Limited,EQ,1994-01-28 00:12:00,10,1,INE533A01012,10
872,KEEPLEARN,DSJ Keep Learning Limited,BE,1995-01-01 00:03:00,1,1,INE055C01020,1
305,CGPOWER,CG Power and Industrial Solutions Limited,EQ,1995-01-01 00:03:00,2,1,INE067A01029,2
1361,ROLTA,Rolta India Limited,BZ,1995-01-01 00:03:00,10,1,INE293A01013,10
1472,SHREYAS,Shreyas Shipping & Logistics Limited,EQ,1995-01-01 00:03:00,10,1,INE757B01015,10
474,ESCORTS,Escorts Kubota Limited,EQ,1995-01-01 00:03:00,10,1,INE042A01014,10
1424,SBIN,State Bank of India,EQ,1995-01-01 00:03:00,1,1,INE062A01020,1
1140,NILKAMAL,Nilkamal Limited,EQ,1995-01-01 00:11:00,10,1,INE310A01015,10
473,ESABINDIA,Esab India Limited,EQ,1995-01-01 00:11:00,10,1,INE284A01012,10
93,ANDHRSUGAR,The Andhra Sugars Limited,EQ,1995-01-01 00:11:00,2,1,INE715B01021,2
1,21STCENMGM,21st Century Management Services Limited,EQ,1995-01-03 00:05:00,10,1,INE253B01015,10
191,BALMLAWRIE,Balmer Lawrie & Company Limited,EQ,1995-01-06 00:07:00,10,1,INE164A01016,10
669,HINDUNILVR,Hindustan Unilever Limited,EQ,1995-01-06 00:07:00,1,1,INE030A01027,1
1392,SAIL,Steel Authority of India Limited,EQ,1995-01-06 00:07:00,10,1,INE114A01011,10
608,GSFC,Gujarat State Fertilizers & Chemicals Limited,EQ,1995-01-06 00:09:00,2,1,INE026A01025,2
1271,PRECWIRE,Precision Wires India Limited,EQ,1995-01-06 00:09:00,1,1,INE372C01037,1
959,LUMAXIND,Lumax Industries Limited,EQ,1995-01-06 00:09:00,10,1,INE162B01018,10
847,KABRAEXTRU,Kabra Extrusion Technik Limited,EQ,1995-01-06 00:09:00,5,1,INE900B01029,5
1479,SIEMENS,Siemens Limited,EQ,1995-01-06 00:09:00,2,1,INE003A01024,2
877,KESORAMIND,Kesoram Industries Limited,EQ,1995-01-06 00:09:00,10,1,INE087A01019,10
1394,SAKHTISUG,Sakthi Sugars Limited,EQ,1995-01-06 00:09:00,10,1,INE623A01011,10
105,APCOTEXIND,Apcotex Industries Limited,EQ,1995-01-06 00:09:00,2,1,INE116A01032,2
1594,SWARAJENG,Swaraj Engines Limited,EQ,1995-01-06 00:12:00,10,1,INE277A01016,10
244,BIRLACABLE,Birla Cable Limited,EQ,1995-01-06 00:12:00,10,1,INE800A01015,10
194,BANARBEADS,Banaras Beads Limited,EQ,1995-01-07 00:07:00,10,1,INE655B01011,10
1147,NKIND,NK Industries Limited,BE,1995-01-07 00:07:00,10,1,INE542C01019,10
661,HIMATSEIDE,Himatsingka Seide Limited,EQ,1995-01-08 00:02:00,5,1,INE049A01027,5
627,HARRMALAYA,Harrisons  Malayalam Limited,EQ,1995-01-08 00:02:00,10,1,INE544A01019,10
88,AMJLAND,Amj Land Holdings Limited,EQ,1995-01-08 00:02:00,2,1,INE606A01024,2
1109,NAVNETEDUL,Navneet Education Limited,EQ,1995-01-08 00:02:00,2,1,INE060A01024,2
1073,MOTOGENFIN,The Motor & General Finance Limited,EQ,1995-01-08 00:02:00,5,1,INE861B01023,5
581,GOLDENTOBC,Golden Tobacco Limited,BZ,1995-01-08 00:02:00,10,1,INE973A01010,10
917,KSB,Ksb Limited,EQ,1995-01-08 00:02:00,10,1,INE999A01015,10
550,GIPCL,Gujarat Industries Power Company Limited,EQ,1995-01-08 00:02:00,10,1,INE162A01010,10
1222,PENINLAND,Peninsula Land Limited,BE,1995-01-08 00:02:00,2,1,INE138A01028,2
130,ARVIND,Arvind Limited,EQ,1995-01-08 00:02:00,10,1,INE034A01011,10
506,FMGOETZE,Federal-Mogul Goetze (India) Limited.,EQ,1995-01-08 00:02:00,10,1,INE529A01010,10
502,FINPIPE,Finolex Industries Limited,EQ,1995-01-08 00:02:00,2,1,INE183A01024,2
493,FEDERALBNK,The Federal Bank  Limited,EQ,1995-01-08 00:02:00,2,1,INE171A01029,2
1764,VINDHYATEL,Vindhya Telelinks Limited,EQ,1995-01-08 00:02:00,10,1,INE707A01012,10
448,EIHOTEL,EIH Limited,EQ,1995-01-08 00:02:00,2,1,INE230A01023,2
1337,RELINFRA,Reliance Infrastructure Limited,BE,1995-01-08 00:02:00,10,1,INE036A01016,10
193,BALRAMCHIN,Balrampur Chini Mills Limited,EQ,1995-01-08 00:02:00,1,1,INE119A01028,1
320,CIPLA,Cipla Limited,EQ,1995-01-08 00:02:00,2,1,INE059A01026,2
303,CESC,CESC Limited,EQ,1995-01-08 00:02:00,1,1,INE486A01021,1
555,GLFL,Gujarat Lease Financing Limited,BE,1995-01-08 00:02:00,10,1,INE540A01017,10
1004,MARALOVER,Maral Overseas Limited,EQ,1995-01-08 00:02:00,10,1,INE882A01013,10
1220,PEL,Piramal Enterprises Limited,EQ,1995-01-08 00:02:00,2,1,INE140A01024,2
1571,SUNPHARMA,Sun Pharmaceutical Industries Limited,EQ,1995-01-08 00:02:00,1,1,INE044A01036,1
1790,WATERBASE,Waterbase Limited,EQ,1995-01-08 00:02:00,10,1,INE054C01015,10
757,INFY,Infosys Limited,EQ,1995-01-08 00:02:00,5,1,INE009A01021,5
964,LYKALABS,Lyka Labs Limited,EQ,1995-01-08 00:02:00,10,1,INE933A01014,10
1804,WILLAMAGOR,Williamson Magor & Company Limited,BE,1995-01-08 00:02:00,10,1,INE210A01017,10
13,AARTIIND,Aarti Industries Limited,EQ,1995-01-08 00:02:00,5,1,INE769A01020,5
857,KANORICHEM,Kanoria Chemicals & Industries Limited,EQ,1995-01-08 00:02:00,5,1,INE138C01024,5
983,MAHSCOOTER,Maharashtra Scooters Limited,EQ,1995-01-08 00:02:00,10,1,INE288A01013,10
19,ABB,ABB India Limited,EQ,1995-01-08 00:02:00,2,1,INE117A01022,2
771,IPCALAB,IPCA Laboratories Limited,EQ,1995-01-08 00:02:00,1,1,INE571A01038,1
1809,WIPRO,Wipro Limited,EQ,1995-01-08 00:11:00,2,1,INE075A01022,2
641,HDFCBANK,HDFC Bank Limited,EQ,1995-01-08 00:11:00,1,1,INE040A01034,1
646,HEG,HEG Limited,EQ,1995-01-10 00:05:00,10,1,INE545A01016,10
549,GINNIFILA,Ginni Filaments Limited,EQ,1995-01-10 00:05:00,10,1,INE424C01010,10
801,JAYNECOIND,Jayaswal Neco Industries Limited,EQ,1995-01-10 00:05:00,10,1,INE854B01010,10
1266,PRAKASH,Prakash Industries Limited,EQ,1995-01-10 00:05:00,10,1,INE603A01013,10
1584,SURYAROSNI,Surya Roshni Limited,EQ,1995-01-10 00:05:00,10,1,INE335A01012,10
1793,WEIZMANIND,Weizmann Limited,EQ,1995-01-10 00:05:00,10,1,INE080A01014,10
445,EIDPARRY,EID Parry India Limited,EQ,1995-01-10 00:05:00,1,1,INE126A01031,1
182,BAJAJHIND,Bajaj Hindusthan Sugar Limited,EQ,1995-01-10 00:05:00,1,1,INE306A01021,1
38,ADORWELD,Ador Welding Limited,EQ,1995-01-10 00:05:00,10,1,INE045A01017,10
1406,SANGHIIND,Sanghi Industries Limited,BE,1995-01-10 00:05:00,10,1,INE999B01013,10
279,CANFINHOME,Can Fin Homes Limited,EQ,1995-01-10 00:05:00,2,1,INE477A01020,2
592,GRASIM,Grasim Industries Limited,EQ,1995-01-10 00:05:00,2,1,INE047A01021,2
294,CENTENKA,Century Enka Limited,EQ,1995-01-10 00:05:00,10,1,INE485A01015,10
1761,VIKASWSP,Vikas WSP Limited,BZ,1995-01-10 00:05:00,1,1,INE706A01022,1
1528,SPICEJET,SPICEJET LTD,EQ,1995-01-10 00:05:00,10,1,INE285B01017,10
1013,MASTEK,Mastek Limited,EQ,1995-01-10 00:05:00,5,1,INE759A01021,5
235,BHARATRAS,Bharat Rasayan Limited,EQ,1995-01-11 00:10:00,10,1,INE838B01013,10
1265,PRAJIND,Praj Industries Limited,EQ,1995-01-11 00:10:00,2,1,INE074A01025,2
1671,TOKYOPLAST,Tokyo Plast International Limited,EQ,1995-01-11 00:10:00,10,1,INE932C01012,10
1219,PEARLPOLY,Pearl Polymers Limited,EQ,1995-01-11 00:10:00,10,1,INE844A01013,10
245,BIRLACORPN,Birla Corporation Limited,EQ,1995-01-12 00:04:00,10,1,INE340A01012,10
1833,ZUARIIND,ZUARI INDUSTRIES LIMITED,EQ,1995-01-12 00:04:00,10,1,INE217A01012,10
1781,VOLTAS,Voltas Limited,EQ,1995-01-12 00:04:00,1,1,INE226A01021,1
381,DCMSHRIRAM,DCM Shriram Limited,EQ,1995-01-12 00:04:00,2,1,INE499A01024,2
1613,TATACOMM,Tata Communications Limited,EQ,1995-01-12 00:04:00,10,1,INE151A01013,10
487,FACT,Fertilizers and Chemicals Travancore Limited,EQ,1995-01-12 00:04:00,10,1,INE188A01015,10
1700,UCALFUEL,Ucal Fuel Systems Limited,EQ,1995-01-13 00:09:00,10,1,INE139B01016,10
1544,STARPAPER,Star Paper Mills Limited,EQ,1995-01-13 00:09:00,10,1,INE733A01018,10
260,BPCL,Bharat Petroleum Corporation Limited,EQ,1995-01-13 00:09:00,10,1,INE029A01011,10
788,IVP,IVP Limited,EQ,1995-01-13 00:09:00,10,1,INE043C01018,10
849,KAKATCEM,Kakatiya Cement Sugar & Industries Limited,EQ,1995-01-13 00:12:00,10,1,INE437B01014,10
1274,PREMIERPOL,Premier Polyfilm Limited,EQ,1995-01-13 00:12:00,5,1,INE309M01012,5
261,BPL,BPL Limited,EQ,1995-01-14 00:06:00,10,1,INE110A01019,10
323,CLNINDIA,Clariant Chemicals (India) Limited,EQ,1995-01-14 00:06:00,10,1,INE492A01029,10
307,CHAMBLFERT,Chambal Fertilizers & Chemicals Limited,EQ,1995-01-14 00:06:00,10,1,INE085A01013,10
802,JAYSREETEA,Jayshree Tea & Industries Limited,EQ,1995-01-15 00:02:00,5,1,INE364A01020,5
1373,RSWM,RSWM Limited,EQ,1995-01-15 00:02:00,10,1,INE611A01016,10
499,FINCABLES,Finolex Cables Limited,EQ,1995-01-15 00:02:00,2,1,INE235A01022,2
647,HEIDELBERG,HeidelbergCement India Limited,EQ,1995-01-15 00:03:00,10,1,INE578A01017,10
183,BAJAJHLDNG,Bajaj Holdings & Investment Limited,EQ,1995-01-15 00:03:00,10,1,INE118A01012,10
567,GNFC,Gujarat Narmada Valley Fertilizers and Chemicals Limited,EQ,1995-01-17 00:05:00,10,1,INE113A01013,10
1723,UNIVCABLES,Universal Cables Limited,EQ,1995-01-17 00:05:00,10,1,INE279A01012,10
205,BASF,BASF India Limited,EQ,1995-01-17 00:05:00,10,1,INE373A01013,10
1323,RAYMOND,Raymond Limited,EQ,1995-01-18 00:10:00,10,1,INE301A01014,10
393,DELTAMAGNT,Delta Manufacturing Limited,EQ,1995-01-18 00:10:00,10,1,INE393A01011,10
118,ARENTERP,Rajdarshan Industries Limited,EQ,1995-01-18 00:10:00,10,1,INE610C01014,10
1177,ONGC,Oil & Natural Gas Corporation Limited,EQ,1995-01-19 00:07:00,5,1,INE213A01029,5
846,JYOTISTRUC,Jyoti Structures Limited,BZ,1995-01-19 00:07:00,2,1,INE197A01024,2
4,3PLAND,3P Land Holdings Limited,EQ,1995-01-19 00:07:00,2,1,INE105C01023,2
678,HLVLTD,HLV LIMITED,EQ,1995-01-19 00:07:00,2,1,INE102A01024,2
1578,SUPREMEIND,Supreme Industries Limited,EQ,1995-01-19 00:07:00,2,1,INE195A01028,2
137,ASHAPURMIN,Ashapura Minechem Limited,EQ,1995-01-20 00:09:00,2,1,INE348A01023,2
704,IDBI,IDBI Bank Limited,EQ,1995-01-20 00:09:00,10,1,INE008A01015,10
901,KOTAKBANK,Kotak Mahindra Bank Limited,EQ,1995-01-20 00:12:00,5,1,INE237A01028,5
1535,SREINFRA,SREI Infrastructure Finance Limited,BE,1995-01-20 00:12:00,10,1,INE872A01014,10
881,KHAITANLTD,Khaitan (India) Limited,EQ,1995-01-20 00:12:00,10,1,INE731C01018,10
1511,SOMANYCERA,Somany Ceramics Limited,EQ,1995-01-22 00:11:00,2,1,INE355A01028,2
455,ELGIEQUIP,Elgi Equipments Limited,EQ,1995-01-22 00:11:00,1,1,INE285A01027,1
1703,UFLEX,UFLEX Limited,EQ,1995-01-23 00:08:00,10,1,INE516A01017,10
561,GMBREW,GM Breweries Limited,EQ,1995-01-23 00:08:00,10,1,INE075D01018,10
783,ITC,ITC Limited,EQ,1995-01-23 00:08:00,1,1,INE154A01025,1
1038,METALFORGE,Metalyst Forgings Limited,BZ,1995-01-23 00:08:00,10,1,INE425A01011,10
141,ASHOKLEY,Ashok Leyland Limited,EQ,1995-01-25 00:05:00,1,1,INE208A01029,1
383,DCW,DCW Limited,EQ,1995-01-25 00:05:00,2,1,INE500A01029,2
1778,VLSFINANCE,VLS Finance Limited,EQ,1995-01-25 00:05:00,10,1,INE709A01018,10
1558,SUDARSCHEM,Sudarshan Chemical Industries Limited,EQ,1995-01-25 00:05:00,2,1,INE659A01023,2
543,GFLLIMITED,GFL Limited,EQ,1995-01-25 00:05:00,1,1,INE538A01037,1
342,COSMOFIRST,COSMO FIRST LIMITED,EQ,1995-01-25 00:05:00,10,1,INE757A01017,10
256,BOMDYEING,Bombay Dyeing & Mfg Company Limited,EQ,1995-01-26 00:04:00,2,1,INE032A01023,2
711,IFCI,IFCI Limited,EQ,1995-01-26 00:04:00,10,1,INE039A01010,10
1467,SHREECEM,SHREE CEMENT LIMITED,EQ,1995-01-26 00:04:00,10,1,INE070A01015,10
659,HIL,HIL Limited,EQ,1995-01-26 00:04:00,10,1,INE557A01011,10
268,BSL,BSL Limited,EQ,1995-01-27 00:07:00,10,1,INE594B01012,10
1600,TAINWALCHM,Tainwala Chemical and Plastic (I) Limited,EQ,1995-01-27 00:07:00,10,1,INE123C01018,10
139,ASHIMASYN,Ashima Limited,EQ,1995-01-27 00:07:00,10,1,INE440A01010,10
1829,ZODIACLOTH,Zodiac Clothing Company Limited,EQ,1995-01-27 00:09:00,10,1,INE206B01013,10
942,LIBERTSHOE,Liberty Shoes Limited,EQ,1995-01-27 00:09:00,10,1,INE557B01019,10
1657,TIL,TIL Limited,BZ,1995-01-27 00:09:00,10,1,INE806C01018,10
1384,S&SPOWER,S&S Power Switchgears Limited,BE,1995-01-27 00:09:00,10,1,INE902B01017,10
1102,NATCOPHARM,Natco Pharma Limited,EQ,1995-01-27 00:12:00,2,1,INE987B01026,2
349,CRISIL,CRISIL Limited,EQ,1995-01-28 00:06:00,1,1,INE007A01025,1
1517,SOTL,Savita Oil Technologies Limited,EQ,1995-01-28 00:06:00,2,1,INE035D01020,2
1431,SEAMECLTD,Seamec Limited,EQ,1995-01-28 00:06:00,10,1,INE497B01018,10
18,ABAN,Aban Offshore Limited,EQ,1995-01-29 00:03:00,2,1,INE421A01028,2
710,IFBIND,IFB Industries Limited,EQ,1995-01-29 00:03:00,10,1,INE559A01017,10
1377,RUBYMILLS,The Ruby Mills Limited,EQ,1995-01-29 00:03:00,5,1,INE301D01026,5
378,DCM,DCM  Limited,EQ,1995-01-29 00:03:00,10,1,INE498A01018,10
400,DHAMPURSUG,Dhampur Sugar Mills Limited,EQ,1995-01-29 00:03:00,10,1,INE041A01016,10
1440,SESHAPAPER,Seshasayee Paper and Boards Limited,EQ,1995-01-29 00:03:00,2,1,INE630A01024,2
753,INEOSSTYRO,INEOS Styrolution India Limited,EQ,1995-01-29 00:03:00,10,1,INE189B01011,10
357,CUMMINSIND,Cummins India Limited,EQ,1995-01-29 00:03:00,2,1,INE298A01020,2
1307,RAJSREESUG,Rajshree Sugars & Chemicals Limited,EQ,1995-01-29 00:03:00,10,1,INE562B01019,10
611,GTL,GTL Limited,EQ,1995-01-29 00:03:00,10,1,INE043A01012,10
1215,PCBL,PCBL LIMITED,EQ,1995-01-29 00:03:00,1,1,INE602A01031,1
1191,ORIENTPPR,Orient Paper & Industries Limited,EQ,1995-01-29 00:03:00,1,1,INE592A01026,1
1195,OSWALAGRO,Oswal Agro Mills Limited,EQ,1995-01-29 00:03:00,10,1,INE142A01012,10
935,LAXMIMACH,Lakshmi Machine Works Limited,EQ,1995-01-29 00:03:00,10,1,INE269B01029,10
1234,PIDILITIND,Pidilite Industries Limited,EQ,1995-01-29 00:03:00,1,1,INE318A01026,1
481,EVERESTIND,Everest Industries Limited,EQ,1995-01-29 00:03:00,10,1,INE295A01018,10
1349,RIIL,Reliance Industrial Infrastructure Limited,EQ,1995-01-29 00:11:00,10,1,INE046A01015,10
